VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL INDEX OBS_SID OBS_LAT OBS_LON   OBS_LVL OBS_ELV       FCST      OBS       OBS_QC OBS_CLIMO_MEAN OBS_CLIMO_STDEV OBS_CLIMO_CDF FCST_CLIMO_MEAN FCST_CLIMO_STDEV CHAN_USE SCAN_POS SAT_ZNTH SAT_AZMTH SUN_ZNTH  SUN_AZMTH SUN_GLNT FRAC_WTR  FRAC_LND   FRAC_ICE FRAC_SNW SFC_TWTR  SFC_TLND  SFC_TICE SFC_TSNW TSOIL     SOILM   LAND_TYPE FRAC_VEG SNW_DPTH SFC_WIND CLD_LWC    TC_PWAT     TFND      TWARM     TCOOL     TZFND     OBS_ERR  FCST_NOBC SFC_EMIS STABILITY   PRS_MAX_WGT
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_01    NA         NA       TB_01   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    272.61339 273.88        51             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    0        274.42953  0.93348  0.008596            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_02    NA         NA       TB_02   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    271.48762 272.64001     51             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    0        272.18795  0.9391   0.0036903           NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_03    NA         NA       TB_03   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    268.6796  270.03        51             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    0        271.98474  0.94433  0.019507            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_04    NA         NA       TB_04   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    258.38322 259.37        51             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    0        261.39166  0.94447  0.044206            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_05    NA         NA       TB_05   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    244.00101 244.45        51             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    0        246.41716  0.94665  0.058151            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_06    NA         NA       TB_06   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    225.01393 225.39999      0             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    4.33545  227.40906  0.94665  0.0637              NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_07    NA         NA       TB_07   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    212.38558 212.49001      0             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    4.32989  215.15904  0.94453  0.049376            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_08    NA         NA       TB_08   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    204.34745 204.16         0             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    3.97725  206.77852  0.94665  0.025306            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_09    NA         NA       TB_09   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    203.01879 203.19         0             NA              NA            NA              NA               NA       -1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    3.9386   205.03879  0.94662 -0.034099            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_10    NA         NA       TB_10   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    211.89031 212.02         0             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  1.46275 0           0.66053    273.88    272.64001 270.03    259.37    2.70871  213.56422  0.94662 -0.046031            NA
